Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
Hybrid micromolding of silver micro fiber doped electrically conductive elastomeric composite polymer for flexible sensors and electronic devices;Microsystem Technologies;;;;10.1007/s00542-017-3694-0;Shreyas ShahMD Nahin Islam ShibleeSajjad Husain MirLarry Akio NagaharaThomas ThundatPraveen Kumar SekharMasaru KawakamiHidemitsu FurukawaAjit Khosla;2017;http://link.springer.com/article/10.1007/s00542-017-3694-0;Article
Hybrid-augmented intelligence: collaboration and cognition;Frontiers of Information Technology & Electronic Engineering;;18;2;10.1631/FITEE.1700053;Nan-ning ZhengZi-yi LiuPeng-ju RenYong-qiang MaShi-tao ChenSi-yu YuJian-ru XueBa-dong ChenFei-yue Wang;2017;http://link.springer.com/article/10.1631/FITEE.1700053;Article
ICT Services Trade in the BRICS Countries: Special and Common Features;Journal of the Knowledge Economy;;;;10.1007/s13132-017-0517-6;Ol’ga V. BiryukovaAnastasiia I. Matiukhina;2018;http://link.springer.com/article/10.1007/s13132-017-0517-6;Article
IPv6 Multicast Forwarding in RPL-Based Wireless Sensor Networks;Wireless Personal Communications;;73;3;10.1007/s11277-013-1250-5;George OikonomouIain PhillipsTheo Tryfonas;2013;http://link.springer.com/article/10.1007/s11277-013-1250-5;Article
IRIS-HiSA: Highly Scalable and Available Carrier-Grade SDN Controller Cluster;Mobile Networks and Applications;;22;5;10.1007/s11036-017-0853-6;Jisoo ShinTaehong KimByungjoon LeeSunhee Yang;2017;http://link.springer.com/article/10.1007/s11036-017-0853-6;Article
ITO nanoparticles reused from ITO scraps and their applications to sputtering target for transparent conductive electrode layer;Nano Convergence;;4;1;10.1186/s40580-017-0117-y;Sung-Jei HongSang-Hyun SongByeong Jun KimJae-Yong LeeYoung-Sung Kim;2017;http://link.springer.com/article/10.1186/s40580-017-0117-y;Article
Identifying Critical Factors of Sustainable Healthcare Institutions’ Indicators Under Taiwan’s National Health Insurance System;Social Indicators Research;;;;10.1007/s11205-017-1761-7;Dong-Shang ChangWen-Sheng WangRouwen Wang;2017;http://link.springer.com/article/10.1007/s11205-017-1761-7;Article
Identifying regional service function from PM2.5 mass concentration throughout a city with non-negative tensor factorization approach;Environmental Science and Pollution Research;;24;35;10.1007/s11356-015-4365-2;Dongmei HuYang ZhouMing XuJianping WuYiman DuBingyue SongKezhen Hu;2017;http://link.springer.com/article/10.1007/s11356-015-4365-2;Article
Impact of 5G Technologies on Industry 4.0;Wireless Personal Communications;;100;1;10.1007/s11277-018-5615-7;Sriganesh K. RaoRamjee Prasad;2018;http://link.springer.com/article/10.1007/s11277-018-5615-7;Article
Impact of 5G Technologies on Smart City Implementation;Wireless Personal Communications;;100;1;10.1007/s11277-018-5618-4;Sriganesh K. RaoRamjee Prasad;2018;http://link.springer.com/article/10.1007/s11277-018-5618-4;Article
